codigo_barras,descricao,unidade,valor
7891017002261,COPO DE VIDRO PARA CERVEJA           , UN ,1.49
7899679505779,COPO VIDRO LOG LISO UN               , UN ,2.29
7899679505687,COPOS CHOPP 6UN                      , UN ,19.9
7891155017684,COPOS NADIR BATUQUE C/6UN            , UN ,9.49
7891155033677,COPOS NADIR LAGUNA C/6UN             , UN ,9.49
7891155008606,COPOS NADIR WINDSOR C/6UN            , UN ,28.9
7896572300050,CORDA P/ VARAL POLI CORDAS 10M       , UN ,0.99
7896342413089,CORRETIVO MERCUR UN                  , UN ,2.69
7897839700026,CORTADOR PARA LEGUMES DUPLA FACE     , UN ,5.99
7897839700033,DESCASCADOR LAMINA DE ACO INOX       , UN ,2.99
7898121655673,ESCORREDOR DE PRATOS SUPREME         , UN ,6.49
7891055687321,ESCOVA CONDOR DESEMBARACADORA ESSENCI, UN ,7.49
7891055682029,ESCOVA DE CABELO CONDOR MARISA C/1UN , UN ,8.29
7891055685020,ESCOVA PARA DESEMBARACAR CABELOS MOLH, UN ,9.99
7891055525104,ESCOVA PARA SAPATOS CODOR            , UN ,5.69
7896507320160,ESPELHO 230MMX160MM                  , UN ,5.89
7896507320184,ESPELHO PAVAO N° 18                  , UN ,6.89
7896507320207,ESPELHO PAVAO N° 20                  , UN ,8.69
7897402000058,ESPELHO ROMEO N° 18                  , UN ,6.89
7898920238039,ESPETOS DE BAMBU PARA CHURRASCO NATUR, UN ,3.99
7898066300706,ESPETOS DE BAMBU PARA CHURRASCO REAL , UN ,2.99
7898921403122,ESPREMEDOR DE FRUTAS PLASTICO        , UN ,3.9
7898538298166,ESTOJO MOLIN AZUL                    , UN ,9.99
7898538298159,ESTOJO MOLIN ROSA                    , UN ,9.99
7898196999092,FACA PARA COZINHA INOX N°7 BIGINOX   , UN ,8.9
7893505000773,FACAS BARICHELLO INO C/3 UN          , UN ,2.99
7891112056480,FACAS TRAMONTINA NEW KOLOR C/3UN     , UN ,5.4
7891021001946,FILTRO DE PAPEL MELITA 103.          , UN ,3.99
7896325630014,FILTRO MOKA 103                      , UN ,3.49
7896325620015,FILTRO PERMANENTE PARA CAFE MOKA 102 , UN ,3.5
7898916862095,FOGOS BEIJA FLOR EXPLOSAO MAGICA 6UN , UN ,29.99
